Date,value
2018-01-22,1.2262
2018-01-23,1.2299
2018-01-24,1.2408
2018-01-25,1.2396
2018-01-26,1.2427
2018-01-29,1.2383
2018-01-30,1.2402
2018-01-31,1.2414
2018-02-01,1.2510
2018-02-02,1.2463
2018-02-05,1.2367
2018-02-06,1.2377
2018-02-07,1.2264
